"","course_code","course_name","domestic_fee","international_fee","start_date","end_date","points","link"
"3490","ACCT252-21S2 (C)","Law of Business Contracts","$831.00","$4,200.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT252&occurrence=21S2(C)&year=2021"
"3491","ACCT254-21S1 (C)","Taxation","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT254&occurrence=21S1(C)&year=2021"
"3492","ACCT256-21S2 (C)","Law of Business Organisations","$831.00","$4,200.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT256&occurrence=21S2(C)&year=2021"
"3493","ACCT311-21S1 (C)","Financial Accounting: Theory & Practice","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT311&occurrence=21S1(C)&year=2021"
"3494","ACCT312-21S2 (C)","Advanced Financial Accounting","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT312&occurrence=21S2(C)&year=2021"
"3495","ACCT312-21SU2 (C)","Advanced Financial Accounting","$831.00","$3,875.00","Monday, 15 November 2021","Sunday, 19 December 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT312&occurrence=21SU2(C)&year=2021"
"3496","ACCT316-21S1 (C)","Public Management and Governance","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT316&occurrence=21S1(C)&year=2021"
"3497","ACCT332-21S2 (C)","Advanced Management Accounting","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT332&occurrence=21S2(C)&year=2021"
"3498","ACCT340-21S1 (C)","Social and Environmental Reporting","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT340&occurrence=21S1(C)&year=2021"
"3499","ACCT341-21S2 (C)","Public Accounting and Finance","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT341&occurrence=21S2(C)&year=2021"
